Sample,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14
273,0,0,0,0,2,5,6,4,4.5,5.4,8.33,12.8,13.62,13.36
274,0,0,0,0,3,5.5,6,12.5,10.33,11.83,10.55,15.23,13.7,18.54
275,0,0,0,0,0,0,0,0,1,2.6,6.12,7.5,8.22,19.75
276,0,0,1,1.5,1.5,2,2,2.5,5,5.5,0,10,11.5,8.37
277,0,0,0,0,0,0,0,0,0,0,3,9,16.2,14.36
278,0,0,0,0,0,0,0,0,0,0,3,4.25,9.82,16.44
280,0,0,0,0,0,0,1,1,1.33,5.4,8.5,15.25,13.95,16.41
281,0,0,0,0,0,0,0,0,1,4,8.6,8.88,9.87,10.96
282,0,0,0,0,0,0,0,0,0,0,0,0,6,7.67
283,0,0,0,0,5,5,5,7,8.5,10,7.86,9.56,11.4,12.03
284,0,0,0,5.33,0,0,0,1,1.5,2,2.5,3.44,45.62,10.57
285,0,0,0,0,0,0,1,1,1,0,3,2.57,7.92,9.73
286,0,0,0,0,0,0,0,0,0,0,0,0,0,0
287,0,0,0,0,0,0,0,0,0,0,1,4.33,5.75,7.35
288,0,0,0,0,0,0,0,0,0,1.5,5.33,7,6.45,10.36
289,0,0,0,0,0,0,0,2,3,2.33,3,4,6.75,9.46
290,0,0,0,0,0,0,0,0,0,0,0,1,4.67,5.86
291,0,0,0,0,1,1,1.5,1.5,2,2,2.33,2.83,4,5.12
294,0,0,0,0,0,1,1.5,1.5,2,2.83,4.67,7,9.83,11.26
295,0,0,0,0,0,0,0,1,1.67,1.8,2.75,0,10.4,13.77
296,0,0,0,0,0,0,0,0,0,0,1,5.5,15,10.89
297,0,0,0,0,1,2,3,4,4,4,5.5,5,11.85,0
298,0,0,0,0,0,0,0,0,0,2,2,2.71,6.57,7.47
299,0,0,0,0,0,0,0,0,0,0,6.5,6.5,11,13.17
301,0,0,0,3,4,2.67,4.33,4.6,4.71,7.5,16.3,15.57,9.87,11.11
302,0,0,0,0,0,1,2,6,13,10.5,15,3.57,9.12,0
304,0,0,1,2.33,3.25,4.75,7,8.25,10.25,11.8,15.17,10.53,10.32,10.92
305,0,0,0,0,0,0,0,0,0,4,6.6,10.33,12.23,12.44
306,0,0,0,0,0,0,0,0,0,0,0,3,4.75,12.91
310,0,0,1,2,2,2,2.5,2.33,3.4,0,9.2,11.67,13.33,12.44
311,0,0,0,0,0,0,0,0,0,6,12,17,10,7.2
312,0,0,0,0,0,0,0,0,0,0,0,0,5,11.83
313,0,0,0,0,0,0,1,3,3,3.67,4,5.67,10.14,10.2
314,0,0,0,0,0,0,3,0,4,5.75,10.17,8.82,13.25,11.42
316,0,0,0,1,0,1,1.5,1.43,1.62,3.9,6.3,6.18,6.18,8.5
317,0,0,0,0,0,0,0,0,0,0,2,4.33,6.75,6.5
319,0,0,0,0,0,0,0,0,0,0,2,4,4,3.33
322,0,0,0,0,3,5,5,5,6,4.5,4,4.67,5.8,6.12
323,0,0,0,0,0,0,0,0,0,0,1,1,2.5,5.29
324,0,0,0,0,1,0,2,1.5,1.5,3,4.5,6,4.8,8
325,0,0,0,0,0,0,0,0,0,0,2,3.25,10.67,0
327,0,0,0,0,0,0,0,0,0,0,0,0,1,3.5
328,0,0,0,0,0,0,0,1,3,5,9,13,24,36
329,0,0,0,0,0,0,0,0,0,0,4,4.33,10.5,0
330,0,0,0,0,0,0,0,0,0,0,2,5.4,8.5,8.81
331,0,0,0,0,0,0,0,0,0,1.67,7.33,10.11,23.22,15.91
332,0,0,0,0,1.5,4.5,9,16,18,11.29,14.62,11.63,19.71,19.12
333,0,0,0,0,0,0,0,0,0,0,1,6,11.4,12.4
335,0,0,0,1,2,0,6,9,13,17,0,42,43.5,7.75
336,0,0,0,0,0,0,0,0,0,2,6,3.5,3,2.71
337,0,0,0,0,0,0,0,0,0,0,0,1,3,6.5
338,0,0,0,0,0,0,1,2.33,3.4,4.86,10.5,10.36,8.48,19.14
339,0,0,0,0,0,0,0,0,0,0,2,2,2,2
340,0,0,0,0,0,0,0,0,3,6,9.25,10.78,13.12,13.57
341,0,0,0,0,0,0,0,0,0,1,4.33,7.75,18,22.08
342,0,0,0,0,0,0,0,0,0,3,11,10.5,26.25,19.56
343,0,0,0,0,0,0,0,0,0,5,0,0,4,13
344,0,0,0,0,0,0,0,0,0,0,0,3,12.33,10.33
345,0,0,0,0,1,0,2.5,5.5,6.25,9.17,0,17.11,19.38,17.37
346,0,0,0,0,0,0,0,0,0,0,0,2,3.4,8
347,0,0,1.5,5.33,11.33,13.25,18,3,29.2,29.67,23.4,24.15,18,18.35
353,0,0,0,0,0,0,0,0,0,0,1,2,3.86,5.08
355,0,0,0,0,1,4,7,6,8.5,7.75,0,11.67,12.25,12.8
357,0,0,0,0,0,0,0,0,0,1.5,4,6.86,9.58,13.2
362,0,0,0,0,0,0,0,0,0,2,4.25,6.75,8.29,11.3
363,0,0,0,0,0,0,0,0,0,6,6,8,7.22,6.87
365,0,0,0,0,0,0,0,0,0,0,0,2,3.67,7.4
367,0,0,0,0,0,0,0,0,0,0,3.5,4,9.2,10.83
368,0,0,0,0,0,0,0,0,4.5,8.5,9.6,11.8,12.79,12.09
369,0,0,0,0,0,0,0,0,0,0,0,2.5,14,9
371,0,0,0,0,0,0,0,1,1,5.33,3.2,2.82,0,0
375,0,0,0,0,0,0,0,0,0,0,1.5,3.6,8.88,10.22
377,0,0,0,0,0,0,0,0,0,0,3,0,1,2
378,0,0,0,0,0,0,0,0,0,0,1.33,1.4,2.11,3.75
382,0,0,0,0,0,0,0,1,2.5,4.33,6,8,13.54,11.38
383,0,0,0,0,0,0,0,0,0,0,0,0,4.5,4.43
384,0,0,0,1,2,2,3,2.33,3.5,4.4,5.7,7.5,0,15.51
386,0,0,0,0,0,0,1,1,1.33,2.33,0,7.17,9.67,9.13
388,0,0,0,0,0,0,0,0,0,0,1,4,11.67,11.22
