Sample,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18
269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,15
270,0,0,0,0,0,0,0,0,0,0,0,0,0,7,27,73,159,270
271,0,0,0,0,0,0,0,0,2,5,7,0,18,37,60,107,228,488
272,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,25,128,0
273,0,0,0,0,0,0,0,0,2,5,6,8,9,27,75,128,218,334
274,0,0,0,0,0,0,0,0,3,11,12,25,31,71,116,198,315,445
275,0,0,0,0,0,0,0,0,0,0,0,0,2,13,49,90,189,316
276,0,0,0,0,0,0,1,3,3,4,4,5,10,11,0,20,69,159
277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,36,81,158
278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,108,296
280,0,0,0,0,0,0,0,0,0,0,1,1,4,27,85,183,293,525
281,0,0,0,0,0,0,0,0,0,0,0,0,1,12,43,71,148,307
282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,23
283,0,0,0,0,0,0,0,0,5,10,10,14,17,20,55,86,228,433
284,0,0,0,0,0,0,0,16,0,0,0,1,3,6,15,31,593,222
285,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,18,103,214
286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,46,169
288,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,28,71,145
289,0,0,0,0,0,0,0,0,0,0,0,2,3,7,15,24,54,123
290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,41
291,0,0,0,0,0,0,0,0,1,2,3,6,4,6,14,17,24,41
294,0,0,0,0,0,0,0,0,0,1,3,3,4,17,28,56,118,259
295,0,0,0,0,0,0,0,0,0,0,0,1,5,9,22,0,156,427
296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,30,98
297,0,0,0,0,0,0,0,0,1,2,3,4,4,4,11,20,154,0
298,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,19,92,112
299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,55,79
301,0,0,0,0,0,0,0,3,4,8,13,23,33,75,163,218,296,422
302,0,0,0,0,0,0,0,0,0,1,2,6,13,21,75,25,73,0
304,0,0,0,0,0,0,3,7,13,19,28,33,41,59,91,179,289,568
305,0,0,0,0,0,0,0,0,0,0,0,0,0,8,33,62,159,224
306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,142
310,0,0,0,0,0,0,2,4,4,4,5,7,17,0,46,105,240,510
311,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,17,20,72
312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,71
313,0,0,0,0,0,0,0,0,0,0,1,3,6,11,20,34,71,153
314,0,0,0,0,0,0,0,0,0,0,3,0,16,23,61,97,212,297
316,0,0,0,0,0,0,0,1,0,3,6,10,13,39,63,68,68,102
317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,54,117
319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,10
322,0,0,0,0,0,0,0,0,3,5,5,5,6,9,12,14,29,49
323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,10,37
324,0,0,0,0,0,0,0,0,1,0,2,3,3,6,9,12,24,16
325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,96,0
327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
328,0,0,0,0,0,0,0,0,0,0,0,1,3,5,9,13,24,36
329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,42,0
330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,27,102,229
331,0,0,0,0,0,0,0,0,0,0,0,0,0,5,44,91,209,700
332,0,0,0,0,0,0,0,0,3,9,18,32,54,79,117,221,414,803
333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,36,114,186
335,0,0,0,0,0,0,0,1,2,0,6,9,13,17,0,42,87,62
336,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,7,12,19
337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,39
338,0,0,0,0,0,0,0,0,0,0,1,7,17,34,84,114,195,268
339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2
340,0,0,0,0,0,0,0,0,0,0,0,0,3,12,37,97,223,543
341,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,31,108,265
342,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,42,105,176
343,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,12,65
344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,37,62
345,0,0,0,0,0,0,0,0,1,0,5,11,25,55,0,154,310,469
346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,80
347,0,0,0,0,0,0,3,16,34,53,72,3,146,178,234,314,450,624
353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,27,61
355,0,0,0,0,0,0,0,0,1,4,7,12,17,31,0,70,147,256
357,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,48,115,198
362,0,0,0,0,0,0,0,0,0,0,0,0,0,6,17,27,58,113
363,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,24,65,103
365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,22,74
367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,16,46,65
368,0,0,0,0,0,0,0,0,0,0,0,0,9,17,48,118,179,266
369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14,45
371,0,0,0,0,0,0,0,0,0,0,0,1,1,16,16,31,0,0
375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,18,71,184
377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,16
378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,19,60
382,0,0,0,0,0,0,0,0,0,0,0,1,5,13,42,104,352,512
383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,31
384,0,0,0,0,0,0,0,1,2,2,3,7,14,22,57,105,0,605
386,0,0,0,0,0,0,0,0,0,0,1,2,4,7,0,43,87,137
388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,35,101
